model,start_time,end_time
resnet18,2020-07-29 11:55:45.620879,2020-07-29 11:56:42.351618
resnet34,2020-07-29 11:56:42.723568,2020-07-29 11:57:55.600710
resnet50,2020-07-29 11:57:56.029574,2020-07-29 11:59:44.015472
resnet101,2020-07-29 11:59:44.778311,2020-07-29 12:02:22.085273
resnet152,2020-07-29 12:02:23.109644,2020-07-29 12:05:53.602304
alexnet,2020-07-29 12:05:54.151584,2020-07-29 12:06:44.159184
vgg11,2020-07-29 12:06:45.033039,2020-07-29 12:08:27.799704
vgg11_bn,2020-07-29 12:08:28.677181,2020-07-29 12:10:21.305273
vgg13,2020-07-29 12:10:22.178790,2020-07-29 12:12:37.509383
vgg13_bn,2020-07-29 12:12:38.381535,2020-07-29 12:15:09.849661
vgg16,2020-07-29 12:15:10.730049,2020-07-29 12:17:46.127748
vgg16_bn,2020-07-29 12:17:47.047268,2020-07-29 12:20:40.103186
vgg19,2020-07-29 12:20:41.041227,2020-07-29 12:23:36.935142
vgg19_bn,2020-07-29 12:23:37.891772,2020-07-29 12:26:52.478509
squeezenet1_0,2020-07-29 12:26:52.522963,2020-07-29 12:27:50.380962
squeezenet1_1,2020-07-29 12:27:50.461558,2020-07-29 12:28:42.297479
densenet121,2020-07-29 12:28:42.482134,2020-07-29 12:30:45.387076
densenet161,2020-07-29 12:30:45.845404,2020-07-29 12:34:35.913809
densenet169,2020-07-29 12:34:36.207519,2020-07-29 12:37:06.954391
densenet201,2020-07-29 12:37:07.351181,2020-07-29 12:40:12.384629
