model,start_time,end_time
alexnet,2020-08-07 15:46:21.270897,2020-08-07 15:50:52.335178
densenet121,2020-08-07 15:50:52.537935,2020-08-07 15:58:07.359863
densenet161,2020-08-07 15:58:08.019219,2020-08-07 16:06:24.882168
densenet169,2020-08-07 16:06:25.350567,2020-08-07 16:14:50.802017
densenet201,2020-08-07 16:14:51.393209,2020-08-07 16:24:11.209650
googlenet,2020-08-07 16:24:11.548550,2020-08-07 16:29:51.132701
mnasnet0_5,2020-08-07 16:29:51.392485,2020-08-07 16:35:09.749325
mnasnet1_0,2020-08-07 16:35:10.099485,2020-08-07 16:40:28.869801
mobilenet_v2,2020-08-07 16:40:29.233023,2020-08-07 16:45:47.970398
resnet101,2020-08-07 16:45:48.899774,2020-08-07 16:52:18.707863
resnet152,2020-08-07 16:52:19.901106,2020-08-07 16:59:45.851199
resnet18,2020-08-07 16:59:46.217449,2020-08-07 17:04:33.508037
resnet34,2020-08-07 17:04:33.875643,2020-08-07 17:09:40.589806
resnet50,2020-08-07 17:09:41.168962,2020-08-07 17:15:12.060671
resnext101_32x8d,2020-08-07 17:15:13.513908,2020-08-07 17:23:34.291742
resnext50_32x4d,2020-08-07 17:23:34.825693,2020-08-07 17:30:00.200766
shufflenet_v2_x0_5,2020-08-07 17:30:00.420746,2020-08-07 17:35:34.570721
shufflenet_v2_x1_0,2020-08-07 17:35:34.822443,2020-08-07 17:41:09.019913
squeezenet1_0,2020-08-07 17:41:09.336015,2020-08-07 17:45:51.245906
squeezenet1_1,2020-08-07 17:45:51.313405,2020-08-07 17:50:32.803104
vgg11,2020-08-07 17:50:34.092548,2020-08-07 17:55:27.122111
vgg11_bn,2020-08-07 17:55:28.013933,2020-08-07 18:00:28.152151
vgg13,2020-08-07 18:00:29.189040,2020-08-07 18:05:30.791257
vgg13_bn,2020-08-07 18:05:31.770801,2020-08-07 18:10:42.816411
vgg16,2020-08-07 18:10:43.998385,2020-08-07 18:15:52.484968
vgg16_bn,2020-08-07 18:15:53.557802,2020-08-07 18:21:14.070531
vgg19,2020-08-07 18:21:15.497053,2020-08-07 18:26:33.025878
vgg19_bn,2020-08-07 18:26:34.147370,2020-08-07 18:32:05.053803
wide_resnet101_2,2020-08-07 18:32:06.809860,2020-08-07 18:39:06.654782
wide_resnet50_2,2020-08-07 18:39:07.636588,2020-08-07 18:45:01.951772
