model,start_time,end_time
alexnet,2020-06-24 10:28:27.242060,2020-06-24 10:28:55.511093
densenet121,2020-06-24 10:28:55.725041,2020-06-24 10:29:41.709235
densenet161,2020-06-24 10:29:42.229888,2020-06-24 10:30:34.959060
densenet169,2020-06-24 10:30:35.267164,2020-06-24 10:31:29.224224
densenet201,2020-06-24 10:31:29.657847,2020-06-24 10:32:29.364626
googlenet,2020-06-24 10:32:29.497258,2020-06-24 10:33:04.944675
mnasnet0_5,2020-06-24 10:33:05.022644,2020-06-24 10:33:38.183403
mnasnet1_0,2020-06-24 10:33:38.493943,2020-06-24 10:34:11.745986
mobilenet_v2,2020-06-24 10:34:11.942952,2020-06-24 10:34:45.351465
resnet101,2020-06-24 10:34:46.168042,2020-06-24 10:35:27.027066
resnet152,2020-06-24 10:35:28.149197,2020-06-24 10:36:15.364317
resnet18,2020-06-24 10:36:15.595918,2020-06-24 10:36:45.551232
resnet34,2020-06-24 10:36:45.970604,2020-06-24 10:37:18.104096
resnet50,2020-06-24 10:37:18.562242,2020-06-24 10:37:53.147587
resnext101_32x8d,2020-06-24 10:37:54.420241,2020-06-24 10:38:47.260217
resnext50_32x4d,2020-06-24 10:38:47.808516,2020-06-24 10:39:28.151745
shufflenet_v2_x0_5,2020-06-24 10:39:28.231090,2020-06-24 10:40:03.325104
shufflenet_v2_x1_0,2020-06-24 10:40:03.400726,2020-06-24 10:40:38.442138
squeezenet1_0,2020-06-24 10:40:38.565398,2020-06-24 10:41:08.031699
squeezenet1_1,2020-06-24 10:41:08.085061,2020-06-24 10:41:37.558380
vgg11,2020-06-24 10:41:38.539679,2020-06-24 10:42:09.079961
vgg11_bn,2020-06-24 10:42:10.057308,2020-06-24 10:42:41.262894
vgg13,2020-06-24 10:42:42.239624,2020-06-24 10:43:13.521138
vgg13_bn,2020-06-24 10:43:14.495062,2020-06-24 10:43:46.887810
vgg16,2020-06-24 10:43:48.039769,2020-06-24 10:44:20.240091
vgg16_bn,2020-06-24 10:44:21.238989,2020-06-24 10:44:54.655855
vgg19,2020-06-24 10:44:55.703594,2020-06-24 10:45:28.814547
vgg19_bn,2020-06-24 10:45:29.864181,2020-06-24 10:46:04.231557
wide_resnet101_2,2020-06-24 10:46:05.939783,2020-06-24 10:46:50.172938
wide_resnet50_2,2020-06-24 10:46:51.012817,2020-06-24 10:47:27.960323
