model,start_time,end_time
alexnet,2020-06-24 08:47:27.655853,2020-06-24 08:49:49.088277
densenet121,2020-06-24 08:49:49.296045,2020-06-24 08:53:38.381121
densenet161,2020-06-24 08:53:39.044999,2020-06-24 08:58:01.642629
densenet169,2020-06-24 08:58:01.966942,2020-06-24 09:02:30.518417
densenet201,2020-06-24 09:02:31.163281,2020-06-24 09:07:28.135469
googlenet,2020-06-24 09:07:28.270098,2020-06-24 09:10:25.625010
mnasnet0_5,2020-06-24 09:10:25.869926,2020-06-24 09:13:11.277703
mnasnet1_0,2020-06-24 09:13:11.433149,2020-06-24 09:15:57.310172
mobilenet_v2,2020-06-24 09:15:57.645194,2020-06-24 09:18:43.713457
resnet101,2020-06-24 09:18:44.529513,2020-06-24 09:22:07.804597
