model,start_time,end_time
alexnet,2020-06-24 08:40:27.553271,2020-06-24 08:40:28.996473
densenet121,2020-06-24 08:40:29.198664,2020-06-24 08:40:31.513867
densenet161,2020-06-24 08:40:32.021360,2020-06-24 08:40:34.693547
densenet169,2020-06-24 08:40:34.997567,2020-06-24 08:40:37.718224
densenet201,2020-06-24 08:40:38.132614,2020-06-24 08:40:41.144355
googlenet,2020-06-24 08:40:41.265778,2020-06-24 08:40:43.054815
mnasnet0_5,2020-06-24 08:40:43.146714,2020-06-24 08:40:44.821774
mnasnet1_0,2020-06-24 08:40:44.973265,2020-06-24 08:40:46.657259
mobilenet_v2,2020-06-24 08:40:47.151058,2020-06-24 08:40:48.841503
resnet101,2020-06-24 08:40:52.558500,2020-06-24 08:40:54.610342
resnet152,2020-06-24 08:41:00.456775,2020-06-24 08:41:02.828977
resnet18,2020-06-24 08:41:05.268538,2020-06-24 08:41:06.797409
resnet34,2020-06-24 08:41:09.722802,2020-06-24 08:41:11.337581
resnet50,2020-06-24 08:41:14.285222,2020-06-24 08:41:16.034216
resnext101_32x8d,2020-06-24 08:41:24.248913,2020-06-24 08:41:26.924404
resnext50_32x4d,2020-06-24 08:41:29.790197,2020-06-24 08:41:31.836136
shufflenet_v2_x0_5,2020-06-24 08:41:33.011413,2020-06-24 08:41:34.796670
shufflenet_v2_x1_0,2020-06-24 08:41:36.010806,2020-06-24 08:41:37.771991
squeezenet1_0,2020-06-24 08:41:38.005244,2020-06-24 08:41:39.524600
squeezenet1_1,2020-06-24 08:41:40.115859,2020-06-24 08:41:41.610674
vgg11,2020-06-24 08:41:51.550786,2020-06-24 08:41:53.104804
vgg11_bn,2020-06-24 08:42:03.600470,2020-06-24 08:42:05.186920
vgg13,2020-06-24 08:42:24.359611,2020-06-24 08:42:25.948764
vgg13_bn,2020-06-24 08:42:44.959675,2020-06-24 08:42:46.599233
vgg16,2020-06-24 08:42:57.624696,2020-06-24 08:42:59.251723
vgg16_bn,2020-06-24 08:43:11.331844,2020-06-24 08:43:13.044126
vgg19,2020-06-24 08:43:24.661793,2020-06-24 08:43:26.336207
vgg19_bn,2020-06-24 08:43:38.995362,2020-06-24 08:43:40.735829
wide_resnet101_2,2020-06-24 08:43:48.396414,2020-06-24 08:43:50.661894
wide_resnet50_2,2020-06-24 08:43:56.840784,2020-06-24 08:43:58.713930
