model,GFLOPS,empirical,kg CO2e,top1score,top5score
alexnet,1.4294,0.0137,0.0035,56.55,79.09
densenet121,5.7313,0.0217,0.0055,74.65,92.17
densenet161,15.574,0.0299,0.0076,77.65,93.8
densenet169,6.7961,0.026,0.0066,76,93
densenet201,8.6819,0.0298,0.0075,77.2,93.57
googlenet,3.0098,0.0172,0.0044,69.78,89.53
mnasnet1_0,0.6507,0.0162,0.0041,73.51,91.544
mobilenet_v2,0.6283,0.016,0.0041,71.88,90.29
resnet101,15.6679,0.0206,0.004,77.37,93.56
resnet152,23.1177,0.0239,0.0052,78.31,94.06
resnet18,3.6381,0.0149,0.0061,69.76,89.08
resnet34,7.3425,0.016,0.0038,73.3,91.42
resnet50,8.223,0.0174,0.0041,76.15,92.87
resnext101_32x8d,32.9531,0.0317,0.0044,79.31,94.53
resnext50_32x4d,8.5188,0.0201,0.008,77.62,93.7
squeezenet1_0,1.6469,0.0144,0.0051,58.1,80.42
squeezenet1_1,0.7038,0.0142,0.0042,58.19,80.62
vgg11,15.2331,0.0158,0.0042,69.02,88.63
vgg11_bn,15.2628,0.0161,0.0037,70.38,89.81
vgg13,22.6415,0.0164,0.0036,69.93,89.25
vgg13_bn,22.6905,0.017,0.004,71.55,90.37
vgg16,30.9677,0.0171,0.0041,71.59,90.38
vgg16_bn,31.0219,0.0177,0.0041,73.37,91.5
vgg19,39.2939,0.0177,0.0043,72.38,90.88
vgg19_bn,39.3533,0.0184,0.0043,74.24,91.85
wide_resnet101_2,45.5912,0.0271,0.0045,78.84,94.28
wide_resnet50_2,22.8538,0.0194,0.0045,78.51,94.09
