model,GFLOPS,empirical,kg CO2e,top1score,top5score,,
resnet18,3.6381,0.0043,0.0011,69.76,89.08,,
resnet34,7.3425,0.0061,0.0015,73.3,91.42,,
resnet50,8.223,0.0097,0.0024,76.15,92.87,,
resnet101,15.6679,0.0152,0.0039,77.37,93.56,,
resnet152,23.1177,0.0201,0.0051,78.31,94.06,,
alexnet,1.4294,0.0033,0.0008,56.55,79.09,,
vgg11,15.2331,0.0093,0.0023,69.02,88.63,,
vgg11_bn,15.2628,0.01,0.0025,70.38,89.81,,
vgg13,22.6415,0.0127,0.0032,69.93,89.25,,
vgg13_bn,22.6905,0.0151,0.0038,71.55,90.37,,
vgg16,30.9677,0.0149,0.0038,71.59,90.38,,
vgg16_bn,31.0219,0.0166,0.0042,73.37,91.5,,
vgg19,39.2939,0.0169,0.0043,72.38,90.88,,
vgg19_bn,39.3533,0.0187,0.0047,74.24,91.85,,
squeezenet1_0,1.6469,0.0044,0.0011,58.1,80.42,,
squeezenet1_1,0.7038,0.0037,0.0009,58.19,80.62,,
densenet121,5.7313,0.0104,0.0026,74.65,92.17,,
densenet161,15.574,0.021,0.0053,77.65,93.8,,
densenet169,6.7961,0.0135,0.0034,76,93,,
densenet201,8.6819,0.0158,0.004,77.2,93.57,,
